tnydp_version,subcategory,code,project_name,country,promoter,maturity_status,new_repurposed,section_name,section_length_km,nominal_diameter_mm,max_operating_pressure_bar,hydrogen_import_capacity_gwh_per_day,importing_hydrogen_carrier_raw,conversion_efficiency_pct,storage_capacity_gwh,commissioning_year,sourcing_country,source_sheet,capacity_semantics,model_use,qa_flag
2026,H2T,H2T-F-642,HyPipe Bavaria – The Hydrogen Hub,Germany,bayernets GmbH,FID,Repurposed,Überackern-Haiming,1.1,700.0,95.0,,,,,2030.0,"Transit from all geographical directions i.a. from North Africa, Ukraine, Spain and other european regions",H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-642,HyPipe Bavaria – The Hydrogen Hub,Germany,bayernets GmbH,FID,Repurposed,Schnaitsee-Lengthal,40.6,800.0,84.0,,,,,2032.0,"Transit from all geographical directions i.a. from North Africa, Ukraine, Spain and other european regions",H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-642,HyPipe Bavaria – The Hydrogen Hub,Germany,bayernets GmbH,FID,Repurposed,Finsing-Schnaitsee,48.6,900.0,80.0,,,,,2032.0,"Transit from all geographical directions i.a. from North Africa, Ukraine, Spain and other european regions",H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-666,H2Coastlink,Germany,Gastransport Nord GmbH,FID,New,Emden-Ost-Nüttermoor,24.0,400.0,80.0,,,,,2027.0,Electrolysis;,H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-666,H2Coastlink,Germany,Gastransport Nord GmbH,FID,New,UGS Huntorf-Sandkrug,5.0,200.0,80.0,,,,,2027.0,Electrolysis;,H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-666,H2Coastlink,Germany,Gastransport Nord GmbH,FID,Repurposed,Sande-Jemgum,73.0,600.0,100.0,,,,,2027.0,Electrolysis;,H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-666,H2Coastlink,Germany,Gastransport Nord GmbH,FID,Repurposed,Huntorf-Sandkrug,32.0,200.0,80.0,,,,,2027.0,Electrolysis;,H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-666,H2Coastlink,Germany,Gastransport Nord GmbH,FID,Repurposed,Huntorf-Rastede,20.0,600.0,80.0,,,,,2029.0,Electrolysis;,H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-666,H2Coastlink,Germany,Gastransport Nord GmbH,FID,New,Rastede-Westerstede,19.0,600.0,80.0,,,,,2029.0,Electrolysis;,H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-666,H2Coastlink,Germany,Gastransport Nord GmbH,FID,New,UGS Huntorf-Elsfleth,5.0,400.0,80.0,,,,,2030.0,Electrolysis;,H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-666,H2Coastlink,Germany,Gastransport Nord GmbH,FID,New,Elsfleth-Bremerhaven,32.0,400.0,80.0,,,,,2030.0,Electrolysis;,H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
2026,H2T,H2T-F-725,Belgian Hydrogen Backbone - Interconnection BE-NL (Zandvliet & Zelzate),Belgium,Fluxys Hydrogen NV/SA,FID,New,IP Zandvliet  + Cluster Antwerp,68.0,600.0,66.2,,,,,2026.0,,H2T,route attribute; hydraulic capacity not supplied in this sheet,route_and_project_status_only,
