scenario_id,from_node,to_node,capacity_gwh,flow_gwh,kind,source_ref
2030_PCIPMI_0.5,LTh2,DEMAND:Lithuania,107464.5360323271,1091.526731620499,country_accounting,
2030_PCIPMI_0.5,PTh2,DEMAND:Portugal,107464.5360323271,995.0039168911899,country_accounting,
2030_PCIPMI_0.5,DEMAND:Austria,SINK,1004.4858568372417,1004.4858568372417,demand,Austria
2030_PCIPMI_0.5,DEMAND:Belgium,SINK,2991.145201821823,2991.145201821823,demand,Belgium
2030_PCIPMI_0.5,DEMAND:Czechia,SINK,736.8397380038537,736.8397380038537,demand,Czechia
2030_PCIPMI_0.5,DEMAND:Denmark,SINK,194.13310731023785,194.13310731023785,demand,Denmark
2030_PCIPMI_0.5,DEMAND:Finland,SINK,1179.614700383046,1179.614700383046,demand,Finland
2030_PCIPMI_0.5,DEMAND:France,SINK,4061.229757938109,4061.229757938109,demand,France
2030_PCIPMI_0.5,DEMAND:Germany,SINK,10553.572505555449,10553.572505555449,demand,Germany
2030_PCIPMI_0.5,DEMAND:Italy,SINK,4178.218970290014,4178.218970290014,demand,Italy
2030_PCIPMI_0.5,DEMAND:Lithuania,SINK,1091.5267316204925,1091.5267316204925,demand,Lithuania
2030_PCIPMI_0.5,DEMAND:Netherlands,SINK,7883.920021406861,7883.920021406861,demand,Netherlands
2030_PCIPMI_0.5,DEMAND:Poland,SINK,5152.690819877984,5152.690819877984,demand,Poland
2030_PCIPMI_0.5,DEMAND:Portugal,SINK,995.0039168911914,995.0039168911914,demand,Portugal
2030_PCIPMI_0.5,DEMAND:Spain,SINK,4717.783845509556,4717.783845509556,demand,Spain
2030_PCIPMI_0.5,DEMAND:Sweden,SINK,1214.7791843811233,1214.7791843811233,demand,Sweden
2030_PCIPMI_0.75,SOURCE,POOL:Belgium,60809.0,21644.5,carrier_pool,Belgium
2030_PCIPMI_0.75,POOL:Belgium,LH2_Tk_BE,145537.1116574581,21644.500000000015,pool_assignment,
2030_PCIPMI_0.75,SOURCE,POOL:Germany,28272.9,14292.530873835765,carrier_pool,Germany
2030_PCIPMI_0.75,POOL:Germany,LH2_Tk_DE,145537.1116574581,11388.0,pool_assignment,
2030_PCIPMI_0.75,POOL:Germany,LH2_Tk_DEbp,145537.1116574581,2904.530873835756,pool_assignment,
2030_PCIPMI_0.75,SOURCE,POOL:Netherlands,83804.0,26298.999692486475,carrier_pool,Netherlands
2030_PCIPMI_0.75,POOL:Netherlands,LH2_Tk_NL,145537.1116574581,26298.99969248651,pool_assignment,
2030_PCIPMI_0.75,ATh2,IB-ITh2,45990.0,5658.493709033675,backbone,E0009
2030_PCIPMI_0.75,LH2_Tk_BE,BEh2,21644.5,21644.5,terminal_backbone,E0019
2030_PCIPMI_0.75,BEh2,DEh2,33288.0,17593.640907246358,backbone,E0027
2030_PCIPMI_0.75,EEh2,FIh2S,36500.0,3242.6885307416815,backbone,E0069
2030_PCIPMI_0.75,FIh2,FIh2Al,183960.0,1645.1556085411576,backbone,E0075
2030_PCIPMI_0.75,FIh2S,FIh2,3649635.0,1645.1556085413322,backbone,E0085
2030_PCIPMI_0.75,FIh2Al,SEh2,183960.0,1645.1556085411576,backbone,E0091
2030_PCIPMI_0.75,FRh2,FRh2S,70080.0,7736.735160231554,backbone,E0103
2030_PCIPMI_0.75,FRh2S,ESh2,78840.0,7736.735160231561,backbone,E0131
2030_PCIPMI_0.75,DEh2,ATh2,54750.0,7018.852498781911,backbone,E0137
2030_PCIPMI_0.75,DEh2,CZh2,105120.0,997.8900224493118,backbone,E0141
2030_PCIPMI_0.75,DEh2,DKh2,37668.0,262.9112964737433,backbone,E0143
2030_PCIPMI_0.75,DEh2,FRh2,70408.5,13236.792289750083,backbone,E0145
2030_PCIPMI_0.75,LH2_Tk_DE,DEh2,11388.0,11388.0,terminal_backbone,E0153
2030_PCIPMI_0.75,LH2_Tk_DEbp,DEh2bp,4745.0,2904.5308738357653,terminal_backbone,E0155
2030_PCIPMI_0.75,DEh2,PLh2nbc,36500.0,11699.130374559008,backbone,E0163
2030_PCIPMI_0.75,LVh2,EEh2,36500.0,3242.6885307416815,backbone,E0207
2030_PCIPMI_0.75,LTh2,LVh2,36500.0,3242.6885307416815,backbone,E0211
2030_PCIPMI_0.75,NLh2,DEh2,74460.0,15621.935574767696,backbone,E0225
2030_PCIPMI_0.75,LH2_Tk_NL,NLh2,33142.0,26298.99969248648,terminal_backbone,E0227
2030_PCIPMI_0.75,PLh2nbc,LTh2,36500.0,4720.92535557902,backbone,E0247
2030_PCIPMI_0.75,ESh2,PTh2,29565.0,1347.5175533468682,backbone,E0325
2030_PCIPMI_0.75,ATh2,DEMAND:Austria,145537.1116574581,1360.3587897482212,country_accounting,
2030_PCIPMI_0.75,DEh2,DEMAND:Germany,145537.1116574581,11388.0,country_accounting,
2030_PCIPMI_0.75,IB-ITh2,DEMAND:Italy,145537.1116574581,5658.493709033704,country_accounting,
2030_PCIPMI_0.75,BEh2,DEMAND:Belgium,145537.1116574581,4050.8590927536425,country_accounting,
2030_PCIPMI_0.75,FRh2,DEMAND:France,145537.1116574581,5500.057129518536,country_accounting,
2030_PCIPMI_0.75,NLh2,DEMAND:Netherlands,145537.1116574581,10677.064117718779,country_accounting,
2030_PCIPMI_0.75,CZh2,DEMAND:Czechia,145537.1116574581,997.8900224493118,country_accounting,
2030_PCIPMI_0.75,DKh2,DEMAND:Denmark,145537.1116574581,262.91129647375783,country_accounting,
2030_PCIPMI_0.75,FIh2S,DEMAND:Finland,145537.1116574581,1597.5329222005385,country_accounting,
2030_PCIPMI_0.75,SEh2,DEMAND:Sweden,145537.1116574581,1645.1556085411576,country_accounting,
2030_PCIPMI_0.75,ESh2,DEMAND:Spain,145537.1116574581,6389.217606884689,country_accounting,
2030_PCIPMI_0.75,DEh2bp,DEMAND:Germany,145537.1116574581,2904.530873835756,country_accounting,
2030_PCIPMI_0.75,PLh2nbc,DEMAND:Poland,145537.1116574581,6978.205018979992,country_accounting,
2030_PCIPMI_0.75,LTh2,DEMAND:Lithuania,145537.1116574581,1478.2368248373386,country_accounting,
2030_PCIPMI_0.75,PTh2,DEMAND:Portugal,145537.1116574581,1347.5175533468719,country_accounting,
2030_PCIPMI_0.75,DEMAND:Austria,SINK,1360.3587897482344,1360.3587897482344,demand,Austria
2030_PCIPMI_0.75,DEMAND:Belgium,SINK,4050.8590927536416,4050.8590927536416,demand,Belgium
2030_PCIPMI_0.75,DEMAND:Czechia,SINK,997.890022449309,997.890022449309,demand,Czechia
2030_PCIPMI_0.75,DEMAND:Denmark,SINK,262.91129647374447,262.91129647374447,demand,Denmark
2030_PCIPMI_0.75,DEMAND:Finland,SINK,1597.5329222005346,1597.5329222005346,demand,Finland
2030_PCIPMI_0.75,DEMAND:France,SINK,5500.05712951853,5500.05712951853,demand,France
2030_PCIPMI_0.75,DEMAND:Germany,SINK,14292.530873835765,14292.530873835765,demand,Germany
2030_PCIPMI_0.75,DEMAND:Italy,SINK,5658.49370903368,5658.49370903368,demand,Italy
2030_PCIPMI_0.75,DEMAND:Lithuania,SINK,1478.2368248373398,1478.2368248373398,demand,Lithuania
2030_PCIPMI_0.75,DEMAND:Netherlands,SINK,10677.064117718775,10677.064117718775,demand,Netherlands
2030_PCIPMI_0.75,DEMAND:Poland,SINK,6978.205018979987,6978.205018979987,demand,Poland
2030_PCIPMI_0.75,DEMAND:Portugal,SINK,1347.5175533468696,1347.5175533468696,demand,Portugal
2030_PCIPMI_0.75,DEMAND:Spain,SINK,6389.217606884682,6389.217606884682,demand,Spain
2030_PCIPMI_0.75,DEMAND:Sweden,SINK,1645.1556085411514,1645.1556085411514,demand,Sweden
2030_Advanced_0.25,SOURCE,POOL:Belgium,60809.0,21644.5,carrier_pool,Belgium
2030_Advanced_0.25,POOL:Belgium,LH2_Tk_BE,97872.38134250841,21644.5,pool_assignment,
2030_Advanced_0.25,SOURCE,POOL:Germany,28272.9,11546.094994570642,carrier_pool,Germany
2030_Advanced_0.25,POOL:Germany,LH2_Tk_DE,97872.38134250841,11387.999999999985,pool_assignment,
2030_Advanced_0.25,POOL:Germany,LH2_Tk_DEbp,97872.38134250841,158.09499457063794,pool_assignment,
2030_Advanced_0.25,SOURCE,POOL:Netherlands,83804.0,7180.204294197363,carrier_pool,Netherlands
2030_Advanced_0.25,POOL:Netherlands,LH2_Tk_NL,97872.38134250841,7180.204294197363,pool_assignment,
2030_Advanced_0.25,SOURCE,POOL:Poland,6460.5,4692.763580947281,carrier_pool,Poland
2030_Advanced_0.25,POOL:Poland,LH2_Tk_PLN,97872.38134250841,4692.763580947285,pool_assignment,
2030_Advanced_0.25,ATh2,IB-ITh2,45990.0,3805.2727210720404,backbone,E0009
2030_Advanced_0.25,ATh2,IB-SKh2W,52560.0,3210.539510557879,backbone,E0011
2030_Advanced_0.25,LH2_Tk_BE,BEh2,21644.5,21644.5,terminal_backbone,E0019
2030_Advanced_0.25,BEh2,DEh2,33288.0,18920.34329059995,backbone,E0027
2030_Advanced_0.25,EEh2,FIh2S,36500.0,2180.671189801811,backbone,E0069
2030_Advanced_0.25,FIh2,FIh2Al,183960.0,1106.3484526113316,backbone,E0075
2030_Advanced_0.25,FIh2S,FIh2,3649635.0,1106.3484526113607,backbone,E0085
2030_Advanced_0.25,FIh2Al,SEh2,183960.0,1106.3484526113316,backbone,E0091
2030_Advanced_0.25,FRh2,FRh2S,70080.0,5202.86648165519,backbone,E0103
2030_Advanced_0.25,FRh2S,ESh2,78840.0,5202.86648165519,backbone,E0131
2030_Advanced_0.25,DEh2,ATh2,54750.0,7930.638059788973,backbone,E0137
2030_Advanced_0.25,DEh2,CZh2,105120.0,671.0697009336727,backbone,E0141
2030_Advanced_0.25,DEh2,DKh2,37668.0,176.80485938087077,backbone,E0143
2030_Advanced_0.25,DEh2,FRh2,70408.5,8901.59240334024,backbone,E0145
2030_Advanced_0.25,DEh2bp,DEh2,4745.0,158.09499457063976,backbone,E0149
2030_Advanced_0.25,LH2_Tk_DE,DEh2,11388.0,11388.0,terminal_backbone,E0153
2030_Advanced_0.25,LH2_Tk_DEbp,DEh2bp,4745.0,158.09499457063976,terminal_backbone,E0155
2030_Advanced_0.25,DEh2,PLh2nbc,36500.0,3174.7686570937367,backbone,E0163
2030_Advanced_0.25,HUh2,ROh2,28032.0,818.9857506865228,backbone,E0179
2030_Advanced_0.25,LVh2,EEh2,36500.0,2180.671189801811,backbone,E0207
2030_Advanced_0.25,LTh2,LVh2,36500.0,2180.671189801811,backbone,E0211
2030_Advanced_0.25,LH2_Tk_NL,NLh2,49749.50000000001,7180.204294197363,terminal_backbone,E0227
2030_Advanced_0.25,PLh2nbc,LTh2,36500.0,3174.7686570937367,backbone,E0247
2030_Advanced_0.25,LH2_Tk_PLN,PLh2N,6460.5,4692.763580947281,terminal_backbone,E0249
2030_Advanced_0.25,IB-SKh2C,HUh2,36500.0,2090.3079244584223,backbone,E0289
2030_Advanced_0.25,IB-SKh2W,SKh2W,52560.0,2090.3079244584223,backbone,E0299
2030_Advanced_0.25,SKh2W,IB-SKh2C,52560.0,2090.3079244584223,backbone,E0305
2030_Advanced_0.25,ESh2,PTh2,29565.0,906.1902425958979,backbone,E0325
2030_Advanced_0.25,ATh2,DEMAND:Austria,97872.38134250841,914.8258281590533,country_accounting,
2030_Advanced_0.25,DEh2,DEMAND:Germany,97872.38134250841,9611.564604633095,country_accounting,
2030_Advanced_0.25,HUh2,DEMAND:Hungary,97872.38134250841,1271.3221737718995,country_accounting,
2030_Advanced_0.25,IB-ITh2,DEMAND:Italy,97872.38134250841,3805.2727210720477,country_accounting,
2030_Advanced_0.25,IB-SKh2W,DEMAND:Slovakia,97872.38134250841,1120.2315860994568,country_accounting,
2030_Advanced_0.25,BEh2,DEMAND:Belgium,97872.38134250841,2724.1567094000493,country_accounting,
2030_Advanced_0.25,FRh2,DEMAND:France,97872.38134250841,3698.7259216850507,country_accounting,
2030_Advanced_0.25,NLh2,DEMAND:Netherlands,97872.38134250841,7180.204294197363,country_accounting,
2030_Advanced_0.25,ROh2,DEMAND:Romania,97872.38134250841,818.9857506865228,country_accounting,
2030_Advanced_0.25,CZh2,DEMAND:Czechia,97872.38134250841,671.0697009336727,country_accounting,
2030_Advanced_0.25,DKh2,DEMAND:Denmark,97872.38134250841,176.8048593808635,country_accounting,
2030_Advanced_0.25,PLh2N,DEMAND:Poland,97872.38134250841,4692.763580947285,country_accounting,
2030_Advanced_0.25,FIh2S,DEMAND:Finland,97872.38134250841,1074.3227371904795,country_accounting,
2030_Advanced_0.25,SEh2,DEMAND:Sweden,97872.38134250841,1106.348452611317,country_accounting,
2030_Advanced_0.25,ESh2,DEMAND:Spain,97872.38134250841,4296.676239059292,country_accounting,
2030_Advanced_0.25,LTh2,DEMAND:Lithuania,97872.38134250841,994.0974672919256,country_accounting,
2030_Advanced_0.25,PTh2,DEMAND:Portugal,97872.38134250841,906.1902425958979,country_accounting,
2030_Advanced_0.25,DEMAND:Austria,SINK,914.8258281590541,914.8258281590541,demand,Austria
2030_Advanced_0.25,DEMAND:Belgium,SINK,2724.15670940005,2724.15670940005,demand,Belgium
2030_Advanced_0.25,DEMAND:Czechia,SINK,671.0697009336768,671.0697009336768,demand,Czechia
2030_Advanced_0.25,DEMAND:Denmark,SINK,176.80485938086764,176.80485938086764,demand,Denmark
2030_Advanced_0.25,DEMAND:Finland,SINK,1074.3227371904843,1074.3227371904843,demand,Finland
2030_Advanced_0.25,DEMAND:France,SINK,3698.7259216850516,3698.7259216850516,demand,France
2030_Advanced_0.25,DEMAND:Germany,SINK,9611.564604633102,9611.564604633102,demand,Germany
2030_Advanced_0.25,DEMAND:Hungary,SINK,1271.3221737719011,1271.3221737719011,demand,Hungary
2030_Advanced_0.25,DEMAND:Italy,SINK,3805.2727210720423,3805.2727210720423,demand,Italy
2030_Advanced_0.25,DEMAND:Lithuania,SINK,994.0974672919265,994.0974672919265,demand,Lithuania
2030_Advanced_0.25,DEMAND:Netherlands,SINK,7180.204294197362,7180.204294197362,demand,Netherlands
2030_Advanced_0.25,DEMAND:Poland,SINK,4692.763580947281,4692.763580947281,demand,Poland
2030_Advanced_0.25,DEMAND:Portugal,SINK,906.1902425958963,906.1902425958963,demand,Portugal
2030_Advanced_0.25,DEMAND:Romania,SINK,818.9857506865214,818.9857506865214,demand,Romania
2030_Advanced_0.25,DEMAND:Slovakia,SINK,1120.2315860994547,1120.2315860994547,demand,Slovakia
2030_Advanced_0.25,DEMAND:Spain,SINK,4296.6762390592885,4296.6762390592885,demand,Spain
2030_Advanced_0.25,DEMAND:Sweden,SINK,1106.3484526113232,1106.3484526113232,demand,Sweden
2030_Advanced_0.5,SOURCE,POOL:Belgium,60809.0,21644.5,carrier_pool,Belgium
2030_Advanced_0.5,POOL:Belgium,LH2_Tk_BE,107464.5360323271,21644.500000000015,pool_assignment,
2030_Advanced_0.5,SOURCE,POOL:Germany,28272.9,14799.030807552434,carrier_pool,Germany
2030_Advanced_0.5,POOL:Germany,LH2_Tk_DE,107464.5360323271,11388.0,pool_assignment,
2030_Advanced_0.5,POOL:Germany,LH2_Tk_DEbp,107464.5360323271,3411.0308075524226,pool_assignment,
2030_Advanced_0.5,SOURCE,POOL:Netherlands,83804.0,7883.920021406855,carrier_pool,Netherlands
2030_Advanced_0.5,POOL:Netherlands,LH2_Tk_NL,107464.5360323271,7883.920021406855,pool_assignment,
2030_Advanced_0.5,SOURCE,POOL:Poland,6460.5,5152.690819877984,carrier_pool,Poland
2030_Advanced_0.5,POOL:Poland,LH2_Tk_PLN,107464.5360323271,5152.690819877986,pool_assignment,
2030_Advanced_0.5,ATh2,IB-ITh2,45990.0,4178.218970290014,backbone,E0009
2030_Advanced_0.5,ATh2,IB-SKh2W,52560.0,3525.1972910102922,backbone,E0011
2030_Advanced_0.5,LH2_Tk_BE,BEh2,21644.5,21644.5,terminal_backbone,E0019
2030_Advanced_0.5,BEh2,DEh2,33288.0,18653.354798178174,backbone,E0027
2030_Advanced_0.5,EEh2,FIh2S,36500.0,2394.3938847641693,backbone,E0069
2030_Advanced_0.5,FIh2,FIh2Al,183960.0,1214.7791843811283,backbone,E0075
2030_Advanced_0.5,FIh2S,FIh2,3649635.0,1214.7791843810119,backbone,E0085
2030_Advanced_0.5,FIh2Al,SEh2,183960.0,1214.7791843811283,backbone,E0091
2030_Advanced_0.5,FRh2,FRh2S,70080.0,5712.787762400745,backbone,E0103
2030_Advanced_0.5,FRh2S,ESh2,78840.0,5712.787762400752,backbone,E0131
2030_Advanced_0.5,DEh2,ATh2,54750.0,8707.902118137543,backbone,E0137
2030_Advanced_0.5,DEh2,CZh2,105120.0,736.8397380038514,backbone,E0141
2030_Advanced_0.5,DEh2,DKh2,37668.0,194.13310731024103,backbone,E0143
2030_Advanced_0.5,DEh2,FRh2,70408.5,9774.017520338857,backbone,E0145
2030_Advanced_0.5,DEh2bp,DEh2,4745.0,3411.030807552433,backbone,E0149
2030_Advanced_0.5,LH2_Tk_DE,DEh2,11388.0,11388.0,terminal_backbone,E0153
2030_Advanced_0.5,LH2_Tk_DEbp,DEh2bp,4745.0,3411.030807552433,terminal_backbone,E0155
2030_Advanced_0.5,DEh2,PLh2nbc,36500.0,3485.920616384661,backbone,E0163
2030_Advanced_0.5,HUh2,ROh2,28032.0,899.2527082136694,backbone,E0179
2030_Advanced_0.5,LVh2,EEh2,36500.0,2394.3938847641693,backbone,E0207
2030_Advanced_0.5,LTh2,LVh2,36500.0,2394.3938847641693,backbone,E0211
2030_Advanced_0.5,LH2_Tk_NL,NLh2,49749.50000000001,7883.920021406862,terminal_backbone,E0227
2030_Advanced_0.5,PLh2nbc,LTh2,36500.0,3485.920616384661,backbone,E0247
2030_Advanced_0.5,LH2_Tk_PLN,PLh2N,6460.5,5152.690819877984,terminal_backbone,E0249
2030_Advanced_0.5,IB-SKh2C,HUh2,36500.0,2295.1743183493018,backbone,E0289
2030_Advanced_0.5,IB-SKh2W,SKh2W,52560.0,2295.1743183493018,backbone,E0299
2030_Advanced_0.5,SKh2W,IB-SKh2C,52560.0,2295.1743183493018,backbone,E0305
