scenario_id,from_node,to_node,capacity_gwh,kind,source_ref
2040_Advanced_0.25,DEMAND:Czechia,SINK,954.555340263158,demand,Czechia
2040_Advanced_0.25,DEMAND:Denmark,SINK,251.49402881946506,demand,Denmark
2040_Advanced_0.25,DEMAND:Finland,SINK,1528.157961124611,demand,Finland
2040_Advanced_0.25,DEMAND:France,SINK,5261.209939596389,demand,France
2040_Advanced_0.25,DEMAND:Germany,SINK,13671.858987034846,demand,Germany
2040_Advanced_0.25,DEMAND:Hungary,SINK,1808.37753288592,demand,Hungary
2040_Advanced_0.25,DEMAND:Italy,SINK,5412.766202979008,demand,Italy
2040_Advanced_0.25,DEMAND:Lithuania,SINK,1414.0424531540161,demand,Lithuania
2040_Advanced_0.25,DEMAND:Netherlands,SINK,10213.398613691748,demand,Netherlands
2040_Advanced_0.25,DEMAND:Poland,SINK,6675.167319509789,demand,Poland
2040_Advanced_0.25,DEMAND:Portugal,SINK,1288.9998373652843,demand,Portugal
2040_Advanced_0.25,DEMAND:Romania,SINK,1164.956815707157,demand,Romania
2040_Advanced_0.25,DEMAND:Slovakia,SINK,1593.4604726676305,demand,Slovakia
2040_Advanced_0.25,DEMAND:Spain,SINK,6111.757457786364,demand,Spain
2040_Advanced_0.25,DEMAND:Sweden,SINK,1573.7125698905506,demand,Sweden
2040_Advanced_0.5,DEMAND:Austria,SINK,1760.982618955981,demand,Austria
2040_Advanced_0.5,DEMAND:Belgium,SINK,5243.83163319669,demand,Belgium
2040_Advanced_0.5,DEMAND:Czechia,SINK,1291.7672884578114,demand,Czechia
2040_Advanced_0.5,DEMAND:Denmark,SINK,340.3383187630466,demand,Denmark
2040_Advanced_0.5,DEMAND:Finland,SINK,2068.0042135984954,demand,Finland
2040_Advanced_0.5,DEMAND:France,SINK,7119.816537620623,demand,France
2040_Advanced_0.5,DEMAND:Germany,SINK,18501.661943445528,demand,Germany
2040_Advanced_0.5,DEMAND:Hungary,SINK,2447.215832997244,demand,Hungary
2040_Advanced_0.5,DEMAND:Italy,SINK,7324.912476159494,demand,Italy
2040_Advanced_0.5,DEMAND:Lithuania,SINK,1913.5755764264256,demand,Lithuania
2040_Advanced_0.5,DEMAND:Netherlands,SINK,13821.445102921049,demand,Netherlands
2040_Advanced_0.5,DEMAND:Poland,SINK,9033.276987322894,demand,Poland
2040_Advanced_0.5,DEMAND:Portugal,SINK,1744.359655750154,demand,Portugal
2040_Advanced_0.5,DEMAND:Romania,SINK,1576.4964518260545,demand,Romania
2040_Advanced_0.5,DEMAND:Slovakia,SINK,2156.375882277396,demand,Slovakia
2040_Advanced_0.5,DEMAND:Spain,SINK,8270.833576584428,demand,Spain
2040_Advanced_0.5,DEMAND:Sweden,SINK,2129.651716849707,demand,Sweden
2040_Advanced_0.75,DEMAND:Austria,SINK,1920.2488604258745,demand,Austria
