scenario_label,scenario_id,year,level,demand_level,failure_count,unmet_gwh,total_demand_gwh,served_gwh,demand_cut_rate_pct,method
S2030_Advanced_medium__fail__LH2_Tk_DE|DEh2,S2030_Advanced_medium,2030,Advanced,medium,1,38946.5006879507,110340.5006879507,71394.0,35.29665031890117,robust_n1
S2030_Advanced_high__fail__LH2_Tk_DE|DEh2,S2030_Advanced_high,2030,Advanced,high,1,78038.33790139483,149432.33790139484,71394.00000000001,52.22319278233443,robust_n1
S2040_PCIPMI_low__fail__LH2_Tk_DE|DEh2,S2040_PCIPMI_low,2040,PCI/PMI,low,1,0.0,142943.0427630426,142943.0427630426,0.0,robust_n1
S2040_PCIPMI_medium__fail__LH2_Tk_DE|DEh2,S2040_PCIPMI_medium,2040,PCI/PMI,medium,1,40614.45991161635,193439.95991161634,152825.5,20.99589967355933,robust_n1
S2040_PCIPMI_high__fail__LH2_Tk_DE|DEh2,S2040_PCIPMI_high,2040,PCI/PMI,high,1,58109.49650855625,210934.99650855624,152825.5,27.548532709316984,robust_n1
S2040_Advanced_low__fail__LH2_Tk_DE|DEh2,S2040_Advanced_low,2040,Advanced,low,1,0.0,142943.0427630426,142943.0427630426,0.0,robust_n1
S2040_Advanced_medium__fail__LH2_Tk_DE|DEh2,S2040_Advanced_medium,2040,Advanced,medium,1,24006.959911616377,193439.95991161634,169432.99999999997,12.410548431970971,robust_n1
S2040_Advanced_high__fail__LH2_Tk_DE|DEh2,S2040_Advanced_high,2040,Advanced,high,1,41501.99650855626,210934.99650855624,169433.0,19.675254080881167,robust_n1
S2030_PCIPMI_low__fail__LH2_Tk_NL|NLh2,S2030_PCIPMI_low,2030,PCI/PMI,low,1,67459.04921819372,100491.54921819372,33032.5,67.12907676616895,robust_n1
S2030_PCIPMI_medium__fail__LH2_Tk_NL|NLh2,S2030_PCIPMI_medium,2030,PCI/PMI,medium,1,77308.0006879507,110340.5006879507,33032.5,70.06312297474722,robust_n1
S2030_PCIPMI_high__fail__LH2_Tk_NL|NLh2,S2030_PCIPMI_high,2030,PCI/PMI,high,1,116399.83790139484,149432.33790139484,33032.5,77.89467764213327,robust_n1
S2030_Advanced_low__fail__LH2_Tk_NL|NLh2,S2030_Advanced_low,2030,Advanced,low,1,67459.04921819372,100491.54921819372,33032.5,67.12907676616895,robust_n1
