draw,seed,selection,worst_dcr_pct,mean_dcr_pct,total_unmet_gwh
91,20260907,LH2_Tk_DE|DEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRW|FRh2;LH2_Tk_FRn|FRh2N,92.37915958491224,84.55875389465382,1521923.7739815088
92,20260907,LH2_Tk_DE|DEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRW|FRh2;LH2_Tk_ITa|IB-ITh2,92.37915958491224,89.49535060947873,1627043.7739815088
93,20260907,LH2_Tk_DE|DEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRW|FRh2;LH2_Tk_NL|NLh2,70.20055991536198,51.184930070076085,940697.773981509
94,20260907,LH2_Tk_DE|DEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRW|FRh2;LH2_Tk_PLN|PLh2N,92.37915958491224,87.20122243150884,1588280.7739815088
95,20260907,LH2_Tk_DE|DEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRn|FRh2N;LH2_Tk_ITa|IB-ITh2,92.37915958491224,84.55875389465382,1521923.7739815088
96,20260907,LH2_Tk_DE|DEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRn|FRh2N;LH2_Tk_NL|NLh2,70.20055991536198,46.24833335525117,835577.773981509
97,20260907,LH2_Tk_DE|DEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_FRn|FRh2N;LH2_Tk_PLN|PLh2N,92.37915958491224,82.26462571668391,1483160.7739815088
98,20260907,LH2_Tk_DE|DEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_ITa|IB-ITh2;LH2_Tk_NL|NLh2,70.20055991536198,51.184930070076085,940697.773981509
99,20260907,LH2_Tk_DE|DEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_ITa|IB-ITh2;LH2_Tk_PLN|PLh2N,92.37915958491224,87.20122243150884,1588280.7739815088
100,20260907,LH2_Tk_DE|DEh2;LH2_Tk_FRSW|FRh2SW;LH2_Tk_NL|NLh2;LH2_Tk_PLN|PLh2N,70.20055991536198,48.89080189210619,901934.773981509
101,20260907,LH2_Tk_DE|DEh2;LH2_Tk_FRW|FRh2;LH2_Tk_FRn|FRh2N;LH2_Tk_ITa|IB-ITh2,92.37915958491224,84.55875389465382,1521923.7739815088
102,20260907,LH2_Tk_DE|DEh2;LH2_Tk_FRW|FRh2;LH2_Tk_FRn|FRh2N;LH2_Tk_NL|NLh2,70.20055991536198,46.24833335525117,835577.773981509
103,20260907,LH2_Tk_DE|DEh2;LH2_Tk_FRW|FRh2;LH2_Tk_FRn|FRh2N;LH2_Tk_PLN|PLh2N,92.37915958491224,82.26462571668391,1483160.7739815088
104,20260907,LH2_Tk_DE|DEh2;LH2_Tk_FRW|FRh2;LH2_Tk_ITa|IB-ITh2;LH2_Tk_NL|NLh2,70.20055991536198,51.184930070076085,940697.773981509
105,20260907,LH2_Tk_DE|DEh2;LH2_Tk_FRW|FRh2;LH2_Tk_ITa|IB-ITh2;LH2_Tk_PLN|PLh2N,92.37915958491224,87.20122243150884,1588280.7739815088
106,20260907,LH2_Tk_DE|DEh2;LH2_Tk_FRW|FRh2;LH2_Tk_NL|NLh2;LH2_Tk_PLN|PLh2N,70.20055991536198,48.89080189210619,901934.773981509
107,20260907,LH2_Tk_DE|DEh2;LH2_Tk_FRn|FRh2N;LH2_Tk_ITa|IB-ITh2;LH2_Tk_NL|NLh2,70.20055991536198,46.24833335525117,835577.773981509
108,20260907,LH2_Tk_DE|DEh2;LH2_Tk_FRn|FRh2N;LH2_Tk_ITa|IB-ITh2;LH2_Tk_PLN|PLh2N,92.37915958491224,82.26462571668391,1483160.7739815088
