scenario_label,scenario_id,year,level,demand_level,failure_count,edge_id,edge_type,from_node,to_node,candidate_key,carrier,flow_gwh,capacity_gwh,utilisation_pct
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0131,backbone,FRh2S,ESh2,,LOHC_to_H2,-0.0,78840.0,-0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0137,backbone,DEh2,ATh2,,NH3_cracked_to_H2,12483.450177479797,54750.0,22.80082224197223
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0137,backbone,DEh2,ATh2,,LOHC_to_H2,0.0,54750.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0139,backbone,DEh2,BEh2,,NH3_cracked_to_H2,0.0,33288.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0139,backbone,DEh2,BEh2,,LOHC_to_H2,0.0,33288.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0141,backbone,DEh2,CZh2,,NH3_cracked_to_H2,0.0,105120.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0141,backbone,DEh2,CZh2,,LOHC_to_H2,0.0,105120.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0143,backbone,DEh2,DKh2,,NH3_cracked_to_H2,0.0,37668.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0143,backbone,DEh2,DKh2,,LOHC_to_H2,0.0,37668.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0145,backbone,DEh2,FRh2,,NH3_cracked_to_H2,13061.701865204966,70408.5,18.551313925456395
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0145,backbone,DEh2,FRh2,,LOHC_to_H2,0.0,70408.5,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0153,terminal_backbone,LH2_Tk_DE,DEh2,LH2_Tk_DE|DEh2,LOHC_to_H2,58.4,11388.0,0.5128205128205128
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0153,terminal_backbone,LH2_Tk_DE,DEh2,LH2_Tk_DE|DEh2,NH3_cracked_to_H2,11329.6,11388.0,99.48717948717949
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0155,terminal_backbone,LH2_Tk_DEbp,DEh2bp,LH2_Tk_DEbp|DEh2bp,LOHC_to_H2,0.0,4745.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0155,terminal_backbone,LH2_Tk_DEbp,DEh2bp,LH2_Tk_DEbp|DEh2bp,NH3_cracked_to_H2,0.0,4745.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0157,backbone,DEh2,NLh2,,NH3_cracked_to_H2,0.0,63072.00000000001,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0157,backbone,DEh2,NLh2,,LOHC_to_H2,0.0,63072.00000000001,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0163,backbone,DEh2,PLh2nbc,,NH3_cracked_to_H2,13355.98670136209,36500.0,36.591744387293396
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0163,backbone,DEh2,PLh2nbc,,LOHC_to_H2,58.4,36500.0,0.16
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0167,backbone,GRh2,BGh2,,NH3_cracked_to_H2,0.0,29200.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0167,backbone,GRh2,BGh2,,LOHC_to_H2,0.0,29200.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0193,backbone,IB-ITh2,ATh2,,NH3_cracked_to_H2,0.0,61320.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0193,backbone,IB-ITh2,ATh2,,LOHC_to_H2,0.0,61320.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0197,backbone,ITh2,IB-ITh2,,NH3_cracked_to_H2,-0.0,73000.0,-0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0197,backbone,ITh2,IB-ITh2,,LOHC_to_H2,-0.0,73000.0,-0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0207,backbone,LVh2,EEh2,,NH3_cracked_to_H2,0.0,36500.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0207,backbone,LVh2,EEh2,,LOHC_to_H2,0.0,36500.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0209,backbone,LVh2,LTh2,,NH3_cracked_to_H2,-0.0,73000.0,-0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0209,backbone,LVh2,LTh2,,LOHC_to_H2,-0.0,73000.0,-0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0211,backbone,LTh2,LVh2,,NH3_cracked_to_H2,0.0,36500.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0211,backbone,LTh2,LVh2,,LOHC_to_H2,0.0,36500.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0213,backbone,LTh2,PLh2nbc,,NH3_cracked_to_H2,-0.0,73000.0,-0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0213,backbone,LTh2,PLh2nbc,,LOHC_to_H2,-0.0,73000.0,-0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0223,backbone,NLh2,BEh2,,NH3_cracked_to_H2,0.0,13140.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0223,backbone,NLh2,BEh2,,LOHC_to_H2,0.0,13140.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0225,backbone,NLh2,DEh2,,NH3_cracked_to_H2,5927.038744046853,74460.0,7.960030545322124
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0225,backbone,NLh2,DEh2,,LOHC_to_H2,-0.0,74460.0,-0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0227,terminal_backbone,LH2_Tk_NL,NLh2,LH2_Tk_NL|NLh2,NH3_cracked_to_H2,33142.0,33142.0,100.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0245,backbone,PLh2nbc,DEh2,,NH3_cracked_to_H2,0.0,73000.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0245,backbone,PLh2nbc,DEh2,,LOHC_to_H2,0.0,73000.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0247,backbone,PLh2nbc,LTh2,,NH3_cracked_to_H2,0.0,36500.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0247,backbone,PLh2nbc,LTh2,,LOHC_to_H2,0.0,36500.0,0.0
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0253,backbone,PLh2nbc,PLh2N,,NH3_cracked_to_H2,6808.05548061695,36500.0,18.652206796210823
S2030_PCIPMI_low,S2030_PCIPMI_low,2030,PCI/PMI,low,0,E0253,backbone,PLh2nbc,PLh2N,,LOHC_to_H2,-0.0,36500.0,-0.0
